#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2013-08-22T17:58:53 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to: question@simbad.u-strasbg.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.97 (28-Nov-2012) 
#INFO -ref=VIZ52164f542898 
#INFO -out.max=200 
#INFO queryParameters=30 
#-oc.form=sexa
#-out.max=200
#-out.add=_r
#-sort=_r
#-nav=cat:J/ApJS/196/11&tab:{J/ApJS/196/11/table1}&key:source=J/ApJS/196/11/table1&HTTPPRM:&&-ref=VIZ52164f542898&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&-bmark=POST&
#-c=NGC 6181
#-c.eq=J2000
#-c.r=  1
#-c.u=deg
#-c.geom=b
#-source=J/ApJS/196/11/table1
#-order=I
#-out=objID
#-out=z
#-out=Sp
#-out=Scale
#-out=gg2d
#-out=rg2d
#-out=(B/T)r
#-out=Re
#-out=e
#-out=phib
#-out=Rd
#-out=i
#-out=phid
#All=All
#Sloan=Sloan
#DR7=DR7
#-out=_RA
#-out=_DE
#
#INFO -c=248.087371+19.826603,bd=1.000000/1. 
#
#
#RESOURCE=yCat_21960011
#Name: J/ApJS/196/11
#Title: Bulge+disk decompositions of SDSS galaxies (Simard+, 2011)
#Table J_ApJS_196_11_table1:
#Name: J/ApJS/196/11/table1
#Title: SDSS structural parameters from n=4 bulge+disk decompositions
#---Details of Columns:
#     _r (deg)           (F8.6)  Distance from center (248.08737+19.82660)[FK5/J2000] [ucd=pos.angDistance]
#     objID              (A18)   SDSS "objID" object identifier (run, rerun, camcol, field, object) [ucd=meta.id]
#     z                  (F6.4)  ? SDSS redshift (spectroscopic if available; or photometric ("-1" in "Sp") [ucd=src.redshift]
#     Sp                 (I2)    [-2/6] SDSS SpecClass value (G1) [ucd=meta.code.class]
#     Scale (kpc/arcsec) (F7.3)  ? Physical scale at redshift z [ucd=instr.scale]
#     gg2d (mag)         (F6.2)  ? GIM2D B+D model g-band magnitude; (Eq. 1) [ucd=phot.mag;meta.modelled]
#     rg2d (mag)         (F6.2)  ? GIM2D B+D model r-band magnitude; (Eq. 1) [ucd=phot.mag;meta.modelled]
#     (B/T)r             (F6.2)  [0,1]? r-band bulge fraction [ucd=phot.mag.sb;arith.ratio]
#     Re (kpc)           (F6.2)  ? Bulge semi-major effective radius [ucd=phys.size.radius]
#     e                  (F6.2)  [0,1]? Bulge ellipticity (G3) [ucd=src.ellipticity]
#     phib (deg)         (F4)    [-360,360] Bulge position angle (G4) [ucd=pos.posAng]
#     Rd (kpc)           (F6.2)  ? Exponential disk scale length [ucd=phys.angSize;src]
#     i (deg)            (F4)    ? Disk inclination angle (1) [ucd=src.orbital.inclination;pos.posAng]
#     phid (deg)         (F4)    [-360,360] Disk position angle (G4) [ucd=pos.posAng]
#     _RA (deg)          (F9.5)  Positions from SDSS-DR7 (Cat. II/294) (right ascension part) [ucd=pos.eq.ra;meta.main]
#     _DE (deg)          (F9.5)  Positions from SDSS-DR7 (Cat. II/294) (declination part) [ucd=pos.eq.dec;meta.main]
#
# PJM: removed following object, which is a star:
#   0.180086 587739166776885385 0.2248 -1   3.611  14.90  14.49   0.88   0.21   0.07  188   7.97   40  142 248.09301  19.64659
# NGC 6181 is now the brightest object in the field - but has it been
# deblended and measured well? Make galtoon plot of the field, and see. 
#
# -------- ------------------ ------ -- ------- ------ ------ ------ ------ ------ ---- ------ ---- ---- --------- ---------
#                                       Scal                                       ph               ph                      
#                                       e (kpc/ gg2d   rg2d          Re            ib ( Rd     i (  id (                    
# _r (deg) objID              z      Sp arcsec) (mag)  (mag)  (B/T)r (kpc)  e      deg) (kpc)  deg) deg) _RA (deg) _DE (deg)
# -------- ------------------ ------ -- ------- ------ ------ ------ ------ ------ ---- ------ ---- ---- --------- ---------
  0.016191 587736976890462495 0.0249 -1   0.501  16.73  16.18   0.06   0.01   0.29  141   5.92   64  136 248.08119  19.84171
  0.045646 587736976890462696 0.1073 -1   1.962  18.44  17.80   0.00   5.15   0.60  183   2.99   64  176 248.06975  19.86913
  0.052620 587736976890528139 0.0979 -1   1.810  18.09  17.51   0.00   3.38   0.30   57   2.67   36   47 248.14311  19.82224
  0.063078 587736976890527925 0.0181 -1   0.368  18.16  17.72   0.12   1.90   0.33  190   1.74   56  145 248.15212  19.81023
  0.084149 587736976890462650 0.1043 -1   1.914  17.90  17.30   0.01   1.50   0.48   38   3.42   40   61 248.04896  19.90260
  0.088216 587736976890462623 0.1164 -1   2.106  18.32  17.61   0.78   2.44   0.00  109   6.53   16  103 248.00466  19.86818
  0.097549 587736976890462797 0.1163 -1   2.106  18.49  17.68   0.03   6.85   0.16   39   5.07   47  142 247.99762  19.87548
  0.113327 587736976890462613 0.1702 -1   2.900  18.83  17.65   0.72   4.07   0.57  115   4.96   65   96 247.96747  19.83763
  0.135198 587736976890527823 0.0252 -1   0.508  17.21  16.78   0.00   2.68   0.34   77   2.21   68   94 248.05138  19.69572
  0.148449 588017977844302182 0.0889  2   1.660  17.45  16.45   0.57   1.68   0.45  133   6.63   43  133 248.22299  19.90255
  0.156247 587736976890528181 0.1219 -1   2.193  18.74  17.73   0.49   0.34   0.32  -28   2.90   52    2 248.06936  19.67128
  0.157529 587736976890462525 0.1014 -1   1.868  17.81  16.94   0.48   2.72   0.43  -12   8.07   23   23 247.92536  19.86653
  0.178290 587736977158832592 0.1257 -1   2.251  18.93  17.78   0.90   2.05   0.24  167   4.53   43  191 247.96211  19.96044
  0.195854 587739166776885524 0.0985 -1   1.820  18.42  17.78   0.10   2.90   0.28   76   4.90   73   63 248.00819  19.64548
  0.209054 587739167313821933 0.0913 -1   1.701  18.20  17.39   0.70   2.51   0.36   73   3.27   39   23 248.30452  19.78231
  0.210803 587739166776885461 0.0721 -1   1.373  17.80  17.42   0.00   0.17   0.32  -17   2.53   58   15 247.96099  19.65257
  0.216076 587739167045255518 0.0917 -1   1.708  18.81  17.93   0.64   0.99   0.65   44   5.78   70   55 247.90840  19.69126
  0.217618 587739166776885480 0.0608 -1   1.173  17.36  16.49   0.74   1.24   0.57  163   3.98   58  157 247.96706  19.64077
  0.223754 587739167045255461 0.1157 -1   2.096  17.90  16.98   0.99   2.61   0.15  217   4.18   32  167 247.87847  19.71974
  0.236400 587736976890593792 0.2328 -1   3.708  19.16  17.85   0.48   2.86   0.14  165   9.15   34  107 248.32292  19.74439
  0.238532 587736976890397044 0.0920  2   1.712  18.06  16.91   0.28   4.75   0.02   23   6.28   81   13 247.88074  19.96498
  0.240204 587736976890593808 0.1109 -1   2.021  18.98  18.03   0.83   1.73   0.02   93   3.54   34  144 248.28226  19.67152
  0.254205 587739166776950985 0.1078 -1   1.970  18.65  17.98   0.04   5.29   0.37  -31   4.29   79   17 248.07836  19.57254
  0.255612 587736976890397008 0.0915  2   1.704  17.23  16.48   0.06   1.75   0.51  166   5.51   63  151 247.85983  19.96645
  0.265747 587739166776951042 0.1106 -1   2.016  18.56  17.48   0.80   1.96   0.21    6   5.14   37   -4 248.11923  19.56255
  0.269680 587739166776950995 0.0806 -1   1.521  18.38  17.72   0.03   0.29   0.34  -62   4.78   77   16 248.06786  19.55755
  0.270776 587739167045255359 0.1753 -1   2.971  18.68  17.86   0.20   4.39   0.47   60   3.55   31   17 247.81232  19.74699
  0.282380 587736976890396967 0.2238  2   3.599  18.42  17.01   0.54   4.88   0.34   37   7.84   23   59 247.86374  20.01510
  0.282926 587736976890397026 0.1000 -1   1.844  18.49  18.03   0.12   1.13   0.42   87   1.64   38  102 247.78809  19.85485
  0.289452 587736976890396951 0.0634  2   1.221  17.24  16.71   0.04   0.52   0.00  140   3.34   66  100 247.82718  19.98129
  0.298019 587739166776885454 0.1479 -1   2.584  18.37  17.27   0.97   3.72   0.32   31   2.95   41   20 247.90231  19.58482
  0.312791 587736976890659198 0.1925 -1   3.201  18.70  17.68   0.63   8.89   0.70   66  15.70   56  105 248.30133  19.58730
  0.312933 587739166776885549 0.1213 -1   2.183  17.48  16.92   0.00   5.00   0.34  104   7.72   79   91 247.95245  19.54061
